DateTime_EST,Day,Wind_speed_ms,Wind_dir_deg,Air_temp_C,Baro_press_mbar
2/17/2021 0:00,17.00000,14,289,0.4,1016.9
2/17/2021 0:06,17.00417,14.2,291,0.3,1017.1
2/17/2021 0:12,17.00833,12.4,290,0.3,1017.1
2/17/2021 0:18,17.01250,13.9,285,0.2,1017.3
2/17/2021 0:24,17.01667,13.7,288,0.2,1017.6
2/17/2021 0:30,17.02083,12.6,284,0.2,1017.9
2/17/2021 0:36,17.02500,12.3,286,0.1,1018
2/17/2021 0:42,17.02917,11,288,0.2,1018.2
2/17/2021 0:48,17.03333,13,286,0,1018.3
2/17/2021 0:54,17.03750,12.9,288,0,1018.3
2/17/2021 1:00,17.04167,12.6,288,-0.1,1018.4
2/17/2021 1:06,17.04583,11.5,289,-0.1,1018.4
2/17/2021 1:12,17.05000,11.8,288,-0.2,1018.4
2/17/2021 1:18,17.05417,11.9,285,-0.3,1018.4
2/17/2021 1:24,17.05833,11.2,288,-0.2,1018.6
2/17/2021 1:30,17.06250,11.7,290,-0.2,1018.7
2/17/2021 1:36,17.06667,10.7,288,-0.3,1018.7
2/17/2021 1:42,17.07083,10.6,291,-0.3,1018.8
2/17/2021 1:48,17.07500,10.5,290,-0.3,1019
2/17/2021 1:54,17.07917,10.6,291,-0.3,1019.1
2/17/2021 2:00,17.08333,,,,
2/17/2021 2:06,17.08750,10.6,289,-0.4,1019.4
2/17/2021 2:12,17.09167,,,,
2/17/2021 2:18,17.09583,7.5,327,-0.6,1019.9
2/17/2021 2:24,17.10000,8.1,335,-1,1020.2
2/17/2021 2:30,17.10417,10,322,-1,1020.4
2/17/2021 2:36,17.10833,12.3,315,-1.1,1020.5
2/17/2021 2:42,17.11250,12.9,314,-1.2,1020.5
2/17/2021 2:48,17.11667,11.6,311,-1.2,1020.5
2/17/2021 2:54,17.12083,9.4,326,-1.4,1020.5
2/17/2021 3:00,17.12500,9.5,320,-1.4,1020.6
2/17/2021 3:06,17.12917,10.6,325,-1.6,1020.6
2/17/2021 3:12,17.13333,10.5,333,-1.7,1020.7
2/17/2021 3:18,17.13750,11.2,323,-1.7,1020.9
2/17/2021 3:24,17.14167,8.8,327,-1.8,1020.8
2/17/2021 3:30,17.14583,7.9,328,-1.9,1020.9
2/17/2021 3:36,17.15000,8.3,319,-1.9,1020.9
2/17/2021 3:42,17.15417,9.3,317,-1.9,1020.9
2/17/2021 3:48,17.15833,9.9,318,-2,1021
2/17/2021 3:54,17.16250,9.3,314,-2,1021.3
2/17/2021 4:00,17.16667,9.6,316,-2,1021.6
2/17/2021 4:06,17.17083,9,312,-2,1021.7
2/17/2021 4:12,17.17500,8.6,313,-2,1022.1
2/17/2021 4:18,17.17917,9.9,308,-2.1,1022.2
2/17/2021 4:24,17.18333,10.2,307,-2.1,1022.4
2/17/2021 4:30,17.18750,9.5,314,-2.2,1022.4
2/17/2021 4:36,17.19167,9,314,-2.3,1022.3
2/17/2021 4:42,17.19583,9.7,311,-2.3,1022.7
2/17/2021 4:48,17.20000,10.2,310,-2.3,1022.8
2/17/2021 4:54,17.20417,9.7,312,-2.4,1022.9
2/17/2021 5:00,17.20833,9.9,311,-2.4,1023.3
2/17/2021 5:06,17.21250,8.6,313,-2.4,1023.7
2/17/2021 5:12,17.21667,9.7,316,-2.5,1023.7
2/17/2021 5:18,17.22083,8.3,315,-2.5,1023.9
2/17/2021 5:24,17.22500,7.8,318,-2.6,1024.2
