DateTime_EST,Days,Predicted_height_m,Verified_height_m
2/17/2021 0:00,17.00000,1.295,1.142
2/17/2021 0:06,17.00417,1.283,1.13
2/17/2021 0:12,17.00833,1.27,1.097
2/17/2021 0:18,17.01250,1.254,1.085
2/17/2021 0:24,17.01667,1.237,1.058
2/17/2021 0:30,17.02083,1.219,1.042
2/17/2021 0:36,17.02500,1.198,1.019
2/17/2021 0:42,17.02917,1.177,0.997
2/17/2021 0:48,17.03333,1.154,0.979
2/17/2021 0:54,17.03750,1.129,0.957
2/17/2021 1:00,17.04167,1.104,0.925
2/17/2021 1:06,17.04583,1.077,0.904
2/17/2021 1:12,17.05000,1.049,0.88
2/17/2021 1:18,17.05417,1.021,0.861
2/17/2021 1:24,17.05833,0.991,0.823
2/17/2021 1:30,17.06250,0.962,0.802
2/17/2021 1:36,17.06667,0.931,0.78
2/17/2021 1:42,17.07083,0.901,0.744
2/17/2021 1:48,17.07500,0.87,0.724
2/17/2021 1:54,17.07917,0.839,0.71
2/17/2021 2:00,17.08333,0.808,0.679
2/17/2021 2:06,17.08750,0.777,0.655
2/17/2021 2:12,17.09167,0.746,0.636
2/17/2021 2:18,17.09583,0.716,0.629
2/17/2021 2:24,17.10000,0.686,0.599
2/17/2021 2:30,17.10417,0.656,0.568
2/17/2021 2:36,17.10833,0.628,0.553
2/17/2021 2:42,17.11250,0.599,0.533
2/17/2021 2:48,17.11667,0.572,0.517
2/17/2021 2:54,17.12083,0.545,0.5
2/17/2021 3:00,17.12500,0.519,0.479
2/17/2021 3:06,17.12917,0.493,0.463
2/17/2021 3:12,17.13333,0.469,0.446
2/17/2021 3:18,17.13750,0.445,0.426
2/17/2021 3:24,17.14167,0.422,0.401
2/17/2021 3:30,17.14583,0.4,0.379
2/17/2021 3:36,17.15000,0.379,0.354
2/17/2021 3:42,17.15417,0.358,0.337
2/17/2021 3:48,17.15833,0.339,0.312
2/17/2021 3:54,17.16250,0.32,0.294
2/17/2021 4:00,17.16667,0.303,0.28
2/17/2021 4:06,17.17083,0.286,0.272
2/17/2021 4:12,17.17500,0.27,0.257
2/17/2021 4:18,17.17917,0.256,0.246
2/17/2021 4:24,17.18333,0.242,0.221
2/17/2021 4:30,17.18750,0.229,0.219
2/17/2021 4:36,17.19167,0.218,0.206
2/17/2021 4:42,17.19583,0.207,0.195
2/17/2021 4:48,17.20000,0.198,0.174
2/17/2021 4:54,17.20417,0.19,0.166
2/17/2021 5:00,17.20833,0.183,0.164
2/17/2021 5:06,17.21250,0.177,0.146
2/17/2021 5:12,17.21667,0.173,0.131
2/17/2021 5:18,17.22083,0.171,0.122
2/17/2021 5:24,17.22500,0.169,0.116
2/17/2021 5:30,17.22917,0.169,0.115
2/17/2021 5:36,17.23333,0.171,0.114
2/17/2021 5:42,17.23750,0.174,0.114
2/17/2021 5:48,17.24167,0.179,0.113
2/17/2021 5:54,17.24583,0.186,0.122
2/17/2021 6:00,17.25000,0.194,0.136
2/17/2021 6:06,17.25417,0.203,0.143
