Ship,Year,Length,Latitude,Longitude
Bounty,2012,180,33.9,-73.83333333
USS Aeolus (ARC-3),1988,438,34.27808333,-76.64431667
USS Tiru,1979,307,36,-73
USS Tarpon (SS-175),1957,298,34.75325,-75.76708333
SS Ashkhabad,1942,401,34.36513333,-76.35135
USS Atik,1942,382,34.86666667,-69.96666667
HMT Bedfordshire,1942,162,34.16666667,-76.68333333
MV British Splendour,1942,441,35.07,-75.19
USS Cythera,1942,215,33.5,-75.66666667
Esso Nashville,1942,445,33.58,-77.37
USS Margaret,1942,338,35.2,-75.23
SS Papoose,1942,412,34.28333333,-76.65
U-352,1942,220,34.35,-76.58333333
U-576,1942,220,34.51,-75.22
U-701,1942,220,35.23883333,-75.1115
U-85,1942,218,35.55,-75.13
SS William Rockefeller,1942,555,35.23638889,-75.03361111
Governor Ames,1909,265,35.727,-75.34
USS Atlanta,1869,189,35.25458,-75.51995
CSS North Carolina,1864,150,33.91361111,-78.01888889
CSS Curlew,1862,135,35.88565,-75.76131
USS Monitor,1862,179,35.00166667,-75.40638889
CSS Sea Bird,1862,133,36.285242,-76.175079
SS Central America,1857,278,31.58333333,-77.03333333
SS Home,1837,220,35.2451,-75.5146
